date,value
01-01-2012,3983
01-02-2012,3872
01-03-2012,3385
01-04-2012,3556
01-05-2012,4094
01-06-2012,3513
01-07-2012,3818
01-08-2012,3666
01-09-2012,3742
01-10-2012,3888
01-11-2012,4005
01-12-2012,3979
01-01-2013,3966
01-02-2013,3896
01-03-2013,4308
01-04-2013,4259
01-05-2013,4045
01-06-2013,4307
01-07-2013,4157
01-08-2013,4232
01-09-2013,4408
01-10-2013,4665
01-11-2013,4375
01-12-2013,4438
01-01-2014,5067
01-02-2014,4925
01-03-2014,4667
01-04-2014,4796
01-05-2014,4949
01-06-2014,4683
01-07-2014,4934
01-08-2014,4711
01-09-2014,4747
01-10-2014,3833
01-11-2014,3871
01-12-2014,3944
01-01-2015,3879
01-02-2015,3808
01-03-2015,3888
01-04-2015,3828
01-05-2015,3952
01-06-2015,4068
01-07-2015,4267
01-08-2015,4054
01-09-2015,4338
01-10-2015,4261
01-11-2015,4114
01-12-2015,4396
01-01-2016,4758
01-02-2016,4138
01-03-2016,3619
01-04-2016,4051
01-05-2016,4235
01-06-2016,4614
01-07-2016,4779
01-08-2016,4558
01-09-2016,4201
01-10-2016,5205
01-11-2016,5199
01-12-2016,5095
01-01-2017,5383
01-02-2017,5484
01-03-2017,5580
01-04-2017,5394
01-05-2017,5230
01-06-2017,5133
01-07-2017,5203
01-08-2017,5176
01-09-2017,4971
01-10-2017,4457
01-11-2017,4654
01-12-2017,5067
01-01-2018,5196
01-02-2018,4423
01-03-2018,3671
01-04-2018,3299
01-05-2018,3185
01-06-2018,4166
01-07-2018,5080
01-08-2018,4441
01-09-2018,4512
01-10-2018,5727
01-11-2018,5483
01-12-2018,5374
01-01-2019,5262
01-02-2019,4360
01-03-2019,4384
01-04-2019,5387
01-05-2019,5131
01-06-2019,5233
01-07-2019,4928
01-08-2019,4768
01-09-2019,5023
01-10-2019,5187
01-11-2019,4815
01-12-2019,5004
01-01-2020,5030
01-02-2020,4785
01-03-2020,3785
01-04-2020,3421
01-05-2020,3492
01-06-2020,3725
01-07-2020,3700
01-08-2020,3802
01-09-2020,4055
01-10-2020,4076
01-11-2020,5049
01-12-2020,5100
01-01-2021,5231
01-02-2021,5238
01-03-2021,4811
01-04-2021,4737
01-05-2021,4765
01-06-2021,4690
01-07-2021,4476
01-08-2021,4748
01-09-2021,5198
01-10-2021,5916
01-11-2021,7636
01-12-2021,7538
01-01-2022,7804
01-02-2022,8188
01-03-2022,8661
01-04-2022,7976
01-05-2022,8139
01-06-2022,8058
01-07-2022,8099
01-08-2022,8078
01-09-2022,7899
01-10-2022,8290
01-11-2022,8487
01-12-2022,8474
01-01-2023,8219
01-02-2023,7539
01-03-2023,7597
