"date","value"
2012-01-01,4120
2012-02-01,4006
2012-03-01,3501.5
2012-04-01,3679
2012-05-01,4235.5
2012-06-01,3634
2012-07-01,3950
2012-08-01,3792
2012-09-01,3871
2012-10-01,4022.5
2012-11-01,4143.5
2012-12-01,4116
2013-01-01,4102.5
2013-02-01,4030.5
2013-03-01,4457
2013-04-01,4406
2013-05-01,4184
2013-06-01,4455.5
2013-07-01,4300
2013-08-01,4378
2013-09-01,4560.5
2013-10-01,4825.5
2013-11-01,4526
2013-12-01,4591
2014-01-01,5241.5
2014-02-01,5095
2014-03-01,4828
2014-04-01,4961.5
2014-05-01,5119.5
2014-06-01,4844
2014-07-01,5104
2014-08-01,4873.5
2014-09-01,4910.5
2014-10-01,3965
2014-11-01,4004
2014-12-01,4080
2015-01-01,4012.5
2015-02-01,3939.5
2015-03-01,4022
2015-04-01,3959.5
2015-05-01,4088.5
2015-06-01,4208.5
2015-07-01,4414.5
2015-08-01,4193.5
2015-09-01,4487.5
2015-10-01,4407.5
2015-11-01,4256
2015-12-01,4548
2016-01-01,4922.5
2016-02-01,4280.5
2016-03-01,3744
2016-04-01,4191
2016-05-01,4381
2016-06-01,4773
2016-07-01,4943.5
2016-08-01,4715.5
2016-09-01,4345.5
2016-10-01,5384
2016-11-01,5378
2016-12-01,5271
2017-01-01,5569
2017-02-01,5673
2017-03-01,5772
2017-04-01,5580
2017-05-01,5410
2017-06-01,5310
2017-07-01,5382
2017-08-01,5354.5
2017-09-01,5142
2017-10-01,4610.5
2017-11-01,4814.5
2017-12-01,5241.5
2018-01-01,5375
2018-02-01,4575
2018-03-01,3797.5
2018-04-01,3412.5
2018-05-01,3294.5
2018-06-01,4309.5
2018-07-01,5255.5
2018-08-01,4594
2018-09-01,4667.5
2018-10-01,5924
2018-11-01,5672
2018-12-01,5559.5
2019-01-01,5443.5
2019-02-01,4510.5
2019-03-01,4535
2019-04-01,5573
2019-05-01,5307.5
2019-06-01,5413.5
2019-07-01,5097.5
2019-08-01,4932
2019-09-01,5196.5
2019-10-01,5365.5
2019-11-01,4981.5
2019-12-01,5176.5
2020-01-01,5203
2020-02-01,4950.5
2020-03-01,3915.5
2020-04-01,3538.5
2020-05-01,3612
2020-06-01,3853
2020-07-01,3828
2020-08-01,3933.5
2020-09-01,4194.5
2020-10-01,4217
2020-11-01,5223.5
2020-12-01,5275.5
2021-01-01,5411
2021-02-01,5419
2021-03-01,4976.5
2021-04-01,4900
2021-05-01,4929.5
2021-06-01,4852
2021-07-01,4630
2021-08-01,4911.5
2021-09-01,5377.5
2021-10-01,6119.5
2021-11-01,7899
2021-12-01,7798
2022-01-01,8073
2022-02-01,8470
2022-03-01,8959.5
2022-04-01,8251
2022-05-01,8420
2022-06-01,8336
2022-07-01,8378
2022-08-01,8357
2022-09-01,8171.5
2022-10-01,8576
2022-11-01,8780
2022-12-01,8766.5
2023-01-01,8502
2023-02-01,7799
2023-03-01,7858.5

