date,value
01-01-2012,4237
01-02-2012,4086
01-03-2012,3847
01-04-2012,3991
01-05-2012,3846
01-06-2012,3468
01-07-2012,3900
01-08-2012,3684
01-09-2012,3792
01-10-2012,3909
01-11-2012,4258
01-12-2012,4104
01-01-2013,4102
01-02-2013,4117
01-03-2013,4530
01-04-2013,4634
01-05-2013,4243
01-06-2013,4436
01-07-2013,4100
01-08-2013,4268
01-09-2013,4551
01-10-2013,4747
01-11-2013,4460
01-12-2013,4623
01-01-2014,5026
01-02-2014,5117
01-03-2014,4807
01-04-2014,5095
01-05-2014,5055
01-06-2014,4520
01-07-2014,4788
01-08-2014,4654
01-09-2014,4721
01-10-2014,4020
01-11-2014,4068
01-12-2014,4146
01-01-2015,4081
01-02-2015,3957
01-03-2015,3875
01-04-2015,3942
01-05-2015,4058
01-06-2015,4000
01-07-2015,4300
01-08-2015,4150
01-09-2015,4225
01-10-2015,4353
01-11-2015,4262
01-12-2015,4614
01-01-2016,4822
01-02-2016,4254
01-03-2016,3463
01-04-2016,3509
01-05-2016,4362
01-06-2016,4487
01-07-2016,4425
01-08-2016,4456
01-09-2016,4441
01-10-2016,5209
01-11-2016,5385
01-12-2016,5332
01-01-2017,5661
01-02-2017,5899
01-03-2017,5842
01-04-2017,5368
01-05-2017,5286
01-06-2017,5216
01-07-2017,5251
01-08-2017,5234
01-09-2017,5243
01-10-2017,4701
01-11-2017,4884
01-12-2017,5243
01-01-2018,5378
01-02-2018,4553
01-03-2018,3799
01-04-2018,3461
01-05-2018,2611
01-06-2018,3200
01-07-2018,4795
01-08-2018,3900
01-09-2018,4348
01-10-2018,5905
01-11-2018,5596
01-12-2018,5520
01-01-2019,5419
01-02-2019,4039
01-03-2019,4205
01-04-2019,5215
01-05-2019,4350
01-06-2019,4783
01-07-2019,4200
01-08-2019,4492
01-09-2019,4346
01-10-2019,5229
01-11-2019,4888
01-12-2019,5138
01-01-2020,5143
01-02-2020,4780
01-03-2020,3173
01-04-2020,3150
01-05-2020,3485
01-06-2020,3600
01-07-2020,3543
01-08-2020,3572
01-09-2020,3558
01-10-2020,3565
01-11-2020,5318
01-12-2020,5410
01-01-2021,5337
01-02-2021,4911
01-03-2021,4291
01-04-2021,4315
01-05-2021,4303
01-06-2021,4309
01-07-2021,4009
01-08-2021,4500
01-09-2021,4255
01-10-2021,4378
01-11-2021,7777
01-12-2021,7414
01-01-2022,7305
01-02-2022,7360
01-03-2022,7333
01-04-2022,7347
01-05-2022,7340
01-06-2022,7344
01-07-2022,7342
01-08-2022,7343
01-09-2022,7343
01-10-2022,8509
01-11-2022,8797
01-12-2022,8463
01-01-2023,8004
01-02-2023,8098
01-03-2023,7467
