date,value
01-01-2012,3708
01-02-2012,3605
01-03-2012,3151
01-04-2012,3311
01-05-2012,3812
01-06-2012,3271
01-07-2012,3555
01-08-2012,3413
01-09-2012,3484
01-10-2012,3620
01-11-2012,3729
01-12-2012,3704
01-01-2013,3692
01-02-2013,3627
01-03-2013,4011
01-04-2013,3965
01-05-2013,3766
01-06-2013,4010
01-07-2013,3870
01-08-2013,3940
01-09-2013,4104
01-10-2013,4343
01-11-2013,4073
01-12-2013,4132
01-01-2014,4717
01-02-2014,4586
01-03-2014,4345
01-04-2014,4465
01-05-2014,4608
01-06-2014,4360
01-07-2014,4594
01-08-2014,4386
01-09-2014,4419
01-10-2014,3569
01-11-2014,3604
01-12-2014,3672
01-01-2015,3611
01-02-2015,3546
01-03-2015,3620
01-04-2015,3564
01-05-2015,3680
01-06-2015,3788
01-07-2015,3973
01-08-2015,3774
01-09-2015,4039
01-10-2015,3967
01-11-2015,3830
01-12-2015,4093
01-01-2016,4430
01-02-2016,3852
01-03-2016,3370
01-04-2016,3772
01-05-2016,3943
01-06-2016,4296
01-07-2016,4449
01-08-2016,4244
01-09-2016,3911
01-10-2016,4846
01-11-2016,4840
01-12-2016,4744
01-01-2017,5012
01-02-2017,5106
01-03-2017,5195
01-04-2017,5022
01-05-2017,4869
01-06-2017,4779
01-07-2017,4844
01-08-2017,4819
01-09-2017,4628
01-10-2017,4149
01-11-2017,4333
01-12-2017,4717
01-01-2018,4838
01-02-2018,4118
01-03-2018,3418
01-04-2018,3071
01-05-2018,2965
01-06-2018,3879
01-07-2018,4730
01-08-2018,4135
01-09-2018,4201
01-10-2018,5332
01-11-2018,5105
01-12-2018,5004
01-01-2019,4899
01-02-2019,4059
01-03-2019,4082
01-04-2019,5016
01-05-2019,4777
01-06-2019,4872
01-07-2019,4588
01-08-2019,4439
01-09-2019,4677
01-10-2019,4829
01-11-2019,4483
01-12-2019,4659
01-01-2020,4683
01-02-2020,4455
01-03-2020,3524
01-04-2020,3185
01-05-2020,3251
01-06-2020,3468
01-07-2020,3445
01-08-2020,3540
01-09-2020,3775
01-10-2020,3795
01-11-2020,4701
01-12-2020,4748
01-01-2021,4870
01-02-2021,4877
01-03-2021,4479
01-04-2021,4410
01-05-2021,4437
01-06-2021,4367
01-07-2021,4167
01-08-2021,4420
01-09-2021,4840
01-10-2021,5508
01-11-2021,7109
01-12-2021,7018
01-01-2022,7266
01-02-2022,7623
01-03-2022,8064
01-04-2022,7426
01-05-2022,7578
01-06-2022,7502
01-07-2022,7540
01-08-2022,7521
01-09-2022,7354
01-10-2022,7718
01-11-2022,7902
01-12-2022,7890
01-01-2023,7652
01-02-2023,7019
01-03-2023,7073
